wavelength,D1,D2,D3,D4,D5,D6,D7
450,0.000847019,0.077468202,0.00191092,0.00177248,0.00285486,0.010057889,0.0172811
451,0.000245423,0.049109899,0.001312,0.00173713,0.00396813,0.01178617,0.0092449
452,0.000314212,0.043633901,0.000916433,0.0016055,0.00603588,0.012219839,0.00616933
453,0.000307853,0.081223004,0.000831098,0.00136594,0.0096412,0.011833456,0.00545951
454,0.000282435,0.178914994,0.000767906,0.00108145,0.0144385,0.011223078,0.00563883
455,0.000202566,0.238071993,0.000665528,0.0012958,0.0173818,0.009027456,0.0069081
456,0.000327712,0.168406993,0.000907553,0.00105045,0.016159501,0.00800952,0.00767445
457,0.000554593,0.078641102,0.00115229,0.0015934,0.0129862,0.00760612,0.00632507
458,0.000697622,0.0599005,0.00187923,0.00231497,0.0102862,0.007944417,0.00396583
459,0.000407856,0.080269903,0.00241929,0.0038811,0.00878195,0.009663943,0.0022675
460,0.000577205,0.153965995,0.00440895,0.006991,0.00834265,0.010623421,0.00125691
461,0.000467889,0.266074985,0.00825674,0.0100203,0.00869342,0.011709201,0.000827986
462,0.000341241,0.239586994,0.016550001,0.0101864,0.0100004,0.011158888,0.000654548
463,0.000219721,0.121211998,0.026631299,0.00789606,0.0127395,0.010225424,0.000794876
464,0.00033966,0.070490703,0.033993699,0.00532261,0.0168532,0.008382096,0.000973367
465,0.000448143,0.073401198,0.0371182,0.00397047,0.02022,0.007109405,0.00122042
466,0.000534864,0.098522604,0.040889502,0.00323085,0.019063801,0.006643491,0.00163015
467,0.000718494,0.102852002,0.052834801,0.00311263,0.0139533,0.007014114,0.00171338
468,0.00065379,0.067018703,0.0796967,0.00326403,0.00937962,0.007834016,0.00133892
469,0.000675412,0.0284032,0.139377996,0.00367703,0.0060938,0.009105214,0.000879278
470,0.000564882,0.013056,0.247510001,0.00466518,0.00424219,0.010024431,0.000501955
471,0.000395058,0.00854145,0.383138001,0.00645583,0.00312455,0.010594587,0.000303354
472,0.000312984,0.0072522,0.464836001,0.00933408,0.00246494,0.01019267,0.000241181
473,0.000245468,0.00850905,0.465617001,0.0139459,0.002104,0.008267961,0.000119946
474,0.000250493,0.0107962,0.478359997,0.0186399,0.0019188,0.006817006,0.000192193
475,0.000231818,0.0128887,0.512440026,0.02101,0.00185619,0.005972751,0.000301933
476,0.000480168,0.0119484,0.509437025,0.0196534,0.00185175,0.005069418,0.000371489
