wavelength,mTurquoise2,EGFP,EYFP,mOrange2,tdTomato,mCherry,mKate2,mNeptune
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,0.0031
392,,,,,,,,0.0031
393,,,,,,,,0.003
394,,,,,,,,0.003
395,,,,,,,,0.003
396,,,,,,,,0.003
397,,,,,,,,0.003
398,,,,,,,,0.003
399,,,,,,,,0.003
400,,,,,,,,0.003
401,,,,,,,,0.003
402,,,,,,,,0.0031
403,,,,,,,,0.0032
404,,,,,,,,0.0033
405,,,,,,,,0.0035
406,,,,,,,,0.0038
407,,,,,,,,0.0042
408,,,,,,,,0.0047
409,,,,,,,,0.0053
410,,,,,,,,0.0062
411,,,,,,,,0.0073
412,,,,,,,,0.0086
413,,,,,,,,0.0102
414,,,,,,,,0.012
415,,,,,,,,0.014
416,,,,,,,,0.0161
417,,,,,,,,0.0183
418,,,,,,,,0.0204
419,,,,,,,,0.0225
420,,,,,,,,0.0245
421,,,,,,,,0.0266
422,,,,,,,,0.0289
423,,,,,,,,0.0314
424,,,,,,,,0.0343
425,,,,,,,,0.0378
426,,,,,,,,0.0418
427,,,,,,,,0.0465
428,,,,,,,,0.0518
429,,,,,,,,0.0575
430,,,,,,,,0.0638
431,,,,,,,,0.0703
432,,,,,,,,0.0771
433,,,,,,,,0.0843
434,,,0.0017,,,,,0.0917
435,,,0.0018,,,,,0.0996
436,,,0.0019,,,,,0.1079
437,,,0.0021,,,,,0.1167
438,,,0.0023,,,,,0.1259
439,,,0.0025,,,,,0.1356
440,,,0.0027,,,,,0.1455
441,0.012,,0.0031,,,,,0.1558
442,0.0133,,0.0035,,,,,0.1664
443,0.0149,,0.0039,,,,,0.1773
444,0.0164,,0.0047,,,,,0.1885
445,0.019,,0.0055,,,,,0.2002
446,0.0221,,0.0065,,,,,0.2125
447,0.0258,,0.0078,,,,,0.2255
448,0.0307,,0.0092,,,,,0.2394
449,0.0369,,0.0114,,,,,0.2543
450,0.0448,,0.0136,,,,,0.2701
451,0.0548,,0.0166,,,,,0.2866
452,0.068,,0.0202,,,,,0.3038
453,0.0835,,0.026,,,,,0.3216
454,0.101,,0.0316,,,,,0.34
455,0.125,,0.0403,,,,,0.3592
456,0.152,,0.0501,,,,,0.3793
457,0.186,,0.064,,,,,0.4006
458,0.224,,0.0788,,,,,0.423
459,0.267,,0.0998,,,,,0.4463
460,0.314,,0.1232,,,,,0.4703
461,0.37,,0.1529,,,,,0.4947
462,0.431,,0.1865,,,,,0.519
463,0.496,0.0027,0.2266,,,,,0.543
464,0.56,0.0031,0.2721,,,,,0.5665
465,0.629,0.0034,0.3223,,,,,0.5897
466,0.696,0.004,0.381,,,,,0.6126
467,0.76,0.0043,0.4432,,,,,0.6352
468,0.819,0.0051,0.5122,,,,,0.6575
469,0.869,0.0061,0.581,,,,,0.6797
470,0.914,0.0072,0.6472,,,,,0.7016
471,0.95,0.0086,0.7153,,,,,0.7232
472,0.974,0.0101,0.7808,,,,,0.7444
473,0.993,0.0122,0.838,,,,,0.7648
474,0.999,0.0151,0.8903,,,,,0.7843
475,1,0.0179,0.9312,,,,,0.8028
476,0.993,0.022,0.9661,,,,,0.8203
477,0.977,0.0266,0.9874,,,,,0.8367
478,0.957,0.0318,0.999,,,,,0.8523
479,0.938,0.0384,1,,,,,0.8671
480,0.915,0.0461,1,,,,,0.881
481,0.889,0.055,0.9832,,,,,0.894
482,0.864,0.0651,0.9622,,,,,0.9059
483,0.841,0.0783,0.9413,,,,,0.9167
484,0.817,0.092,0.9095,,,,,0.9265
485,0.796,0.109,0.8783,,,,,0.9357
486,0.776,0.1266,0.8467,,,,,0.9443
487,0.76,0.148,0.8126,,,,,0.9526
488,0.749,0.1716,0.7782,,,,,0.9607
489,0.741,0.1981,0.743,,,,,0.9686
490,0.738,0.2267,0.7101,,,,,0.976
491,0.737,0.2587,0.6811,,,,,0.9828
492,0.739,0.2945,0.6504,,,,,0.9886
493,0.745,0.3315,0.6205,,,,,0.9934
494,0.751,0.3714,0.5949,,,,,0.9968
495,0.758,0.4155,0.5676,,,,,0.999
496,0.768,0.4598,0.5466,,,,,1
497,0.775,0.5088,0.5219,,,,,1
498,0.78,0.5594,0.5027,,,,,0.9992
499,0.787,0.6104,0.484,,,,,0.9978
500,0.792,0.6649,0.4656,0.0013,,,,0.9959
501,0.792,0.7182,0.4522,0.0013,,,,0.9935
502,0.795,0.7666,0.4369,0.0013,,,,0.9906
503,0.792,0.8161,0.4238,0.0013,,,,0.9871
504,0.786,0.8622,0.4152,0.0014,,,,0.9828
505,0.779,0.9027,0.4009,0.0015,,,,0.9777
506,0.769,0.9355,0.3929,0.0013,,,,0.9718
507,0.752,0.9664,0.3857,0.0015,,,,0.9651
508,0.736,0.9877,0.3764,0.0014,,,,0.9578
509,0.72,0.9994,0.3718,0.0015,,,,0.95
510,0.699,0.9999,0.3632,0.0014,,,,0.9418
511,0.68,1,0.3553,0.0017,,,,0.9333
512,0.658,0.9889,0.3477,0.0018,,,,0.9249
513,0.637,0.9696,0.342,0.0022,,,,0.9165
514,0.615,0.9406,0.3348,0.0023,,,,0.9082
515,0.594,0.906,0.3271,0.0025,,,,0.9002
516,0.572,0.8711,0.3181,0.0026,,,,0.8923
517,0.553,0.8345,0.3109,0.0027,,,,0.8847
518,0.531,0.7934,0.3018,0.0027,,,,0.8772
519,0.511,0.7509,0.2938,0.003,,,,0.8698
520,0.494,0.7149,0.288,0.0033,,,,0.8623
521,0.476,0.6802,0.2774,0.0039,,,,0.8545
522,0.46,0.6504,0.2708,0.0043,,,,0.8463
523,0.443,0.6208,0.2602,0.005,,,,0.8376
524,0.43,0.5966,0.2504,0.0057,,,,0.8283
525,0.417,0.5698,0.2427,0.0065,,,,0.8181
526,0.403,0.547,0.2362,0.0075,,,,0.8073
527,0.391,0.5275,0.2231,0.0096,,,,0.7958
528,0.381,0.5084,0.2153,0.0111,,,,0.7839
529,0.371,0.49,0.2086,0.0134,,,,0.7716
530,0.363,0.4733,0.1995,0.0161,0.0025,,,0.7592
531,0.354,0.4636,0.1911,0.0196,0.003,,,0.7468
532,0.346,0.4504,0.1844,0.0223,0.0037,,,0.7346
533,0.338,0.4393,0.1756,0.027,0.0046,,,0.7225
534,0.332,0.4296,0.1673,0.0317,0.0053,,,0.7107
535,0.326,0.4221,0.1609,0.0386,0.0065,,,0.6991
536,0.318,0.4105,0.1543,0.0456,0.0078,,,0.6877
537,0.313,0.4014,0.1475,0.0551,0.0108,,,0.6765
538,0.306,0.3942,0.1418,0.0667,0.0161,,,0.6653
539,0.299,0.3867,0.1352,0.0809,0.0205,,,0.6542
540,0.294,0.381,0.1303,0.0955,0.0219,,,0.643
541,0.288,0.3693,0.1241,0.1167,0.0218,,,0.6318
542,0.28,0.3621,0.1192,0.1393,0.0236,,,0.6206
543,0.273,0.3583,0.114,0.1663,0.0267,,,0.6094
544,0.267,0.3476,0.1095,0.1972,0.0323,,,0.5983
545,0.26,0.3393,0.1062,0.2318,0.0383,,,0.5872
546,0.253,0.3295,0.1008,0.2729,0.0452,,,0.5761
547,0.246,0.3223,0.0972,0.3244,0.0536,,,0.5651
548,0.238,0.312,0.0935,0.3725,0.0638,,,0.5543
549,0.23,0.3015,0.0892,0.422,0.0761,,,0.5435
550,0.224,0.2908,0.0871,0.4801,0.0882,0.0012,,0.5328
551,0.216,0.2796,0.0836,0.532,0.1043,0.0014,,0.5223
552,0.208,0.2674,0.081,0.5807,0.1209,0.0015,,0.5119
553,0.201,0.2564,0.0794,0.6308,0.1414,0.0019,,0.5016
554,0.193,0.2451,0.0743,0.6831,0.1638,0.0023,,0.4915
555,0.187,0.2344,0.0719,0.7342,0.188,0.0026,,0.4815
556,0.18,0.2243,0.0715,0.7837,0.2171,0.0033,,0.4718
557,0.173,0.2156,0.0674,0.8327,0.2469,0.0039,,0.4622
558,0.166,0.2068,0.0652,0.8776,0.2809,0.0045,,0.4529
559,0.159,0.1957,0.0645,0.9177,0.3176,0.0052,,0.4438
560,0.153,0.1865,0.0622,0.9455,0.3562,0.0063,0.0055,0.4349
561,0.147,0.1806,0.0596,0.968,0.3975,0.0087,0.0057,0.4262
562,0.141,0.1706,0.0572,0.9809,0.4412,0.0157,0.0063,0.4179
563,0.135,0.1617,0.0562,0.9927,0.4854,0.0253,0.007,0.4098
564,0.131,0.1548,0.0538,1,0.5315,0.0291,0.0079,0.402
565,0.125,0.1485,0.053,0.9981,0.5778,0.0258,0.0092,0.3944
566,0.122,0.1406,0.0518,0.9943,0.6254,0.0201,0.0104,0.3872
567,0.117,0.1347,0.0506,0.9803,0.6691,0.0193,0.0119,0.3802
568,0.113,0.1283,0.0478,0.9635,0.7156,0.0225,0.0134,0.3734
569,0.11,0.1224,0.0464,0.9391,0.7557,0.0256,0.0157,0.3668
570,0.106,0.1173,0.045,0.9179,0.7965,0.0298,0.018,0.3603
571,0.103,0.1143,0.0437,0.892,0.8326,0.0345,0.0207,0.3539
572,0.0993,0.108,0.0426,0.8705,0.8681,0.0416,0.0239,0.3475
573,0.0967,0.1041,0.0409,0.8463,0.8959,0.0479,0.0268,0.3412
574,0.0934,0.0969,0.0399,0.8223,0.9247,0.0552,0.0308,0.3348
575,0.091,0.0959,0.0398,0.8015,0.9438,0.0654,0.0356,0.3283
576,0.0883,0.092,0.037,0.7788,0.9648,0.0752,0.0407,0.3217
577,0.0854,0.0883,0.0354,0.7601,0.9767,0.0894,0.0459,0.315
578,0.0832,0.0843,0.0355,0.7346,0.9864,0.1022,0.051,0.3082
579,0.0809,0.0813,0.0339,0.7134,0.9959,0.1189,0.0582,0.3013
580,0.0791,0.0787,0.0324,0.6885,0.9957,0.1376,0.0652,0.2945
581,0.0768,0.0759,0.0318,0.6659,1,0.1595,0.0735,0.2877
582,0.0747,0.0737,0.0303,0.6415,0.9983,0.1831,0.0831,0.2811
583,0.0728,0.0712,0.0296,0.6257,0.9957,0.2111,0.0927,0.2747
584,0.0705,0.0687,0.028,0.6086,0.9882,0.2366,0.1038,0.2685
585,0.0683,0.0653,0.0276,0.5949,0.9788,0.2654,0.1164,0.2626
586,0.0668,0.0645,0.0273,0.5815,0.9698,0.2974,0.13,0.257
587,0.0647,0.0633,0.0263,0.5687,0.96,0.3349,0.1437,0.2517
588,0.0629,0.0594,0.0255,0.5589,0.9457,0.3687,0.1587,0.2468
589,0.0615,0.0591,0.0237,0.5484,0.9338,0.4057,0.1777,0.2421
590,0.0599,0.0558,0.0234,0.5342,0.9249,0.447,0.1962,0.2376
591,0.0578,0.0544,0.0216,0.5244,0.9095,0.488,0.2155,0.2333
592,0.0557,0.053,0.0217,0.5182,0.8958,0.5307,0.2385,0.2291
593,0.0542,0.0501,0.0213,0.5044,0.8823,0.5715,0.2578,0.2249
