wavelength,ViaFluor 405,MitoTracker Green FM,CF532,CellMask Orange,SPY555,MitoTracker Red,SPY620,SiR
408,0.001,,,,,,,
409,0.005,,,,,,,
410,0.007,,,,,,,
411,0.009,,,,,,,
412,0.01,,,,,,,
413,0.012,,,,,,,
414,0.014,,,,,,,
415,0.0159,,,,,,,
416,0.0176,,,,,,,
417,0.02,,,,,,,
418,0.0231,,,,,,,
419,0.027,,,,,,,
420,0.0326,,,,,,,
421,0.0398,,,,,,,
422,0.0504,,,,,,,
423,0.0623,,,,,,,
424,0.0764,,,,,,,
425,0.0926,,,,,,,
426,0.111,,,,,,,
427,0.1323,,,,,,,
428,0.1567,,,,,,,
429,0.1838,,,,,,,
430,0.2116,,,,,,,
431,0.2427,,,,,,,
432,0.2754,,,,,,,
433,0.3132,,,,,,,
434,0.3557,,,,,,,
435,0.4027,,,,,,,
436,0.4534,,,,,,,
437,0.504,,,,,,,
438,0.554,,,,,,,
439,0.6054,,,,,,,
440,0.6542,,,,,,,
441,0.7025,,,,,,,
442,0.7487,,,,,,,
443,0.7931,,,,,,,
444,0.8352,,,,,,,
445,0.8739,,,,,,,
446,0.9042,,,,,,,
447,0.9306,,,,,,,
448,0.9539,,,,,,,
449,0.9754,,,,,,,
450,0.9877,,,,,,,
451,0.9987,,,,,,,
452,1,,,,,,,
453,0.9991,,,,,,,
454,0.9895,,,,,,,
455,0.9772,,,,,,,
456,0.9613,,,,,,,
457,0.9468,,,,,,,
458,0.9288,,,,,,,
459,0.9077,,,,,,,
460,0.8871,,,,,,,
461,0.8638,,,,,,,
462,0.8445,,,,,,,
463,0.8203,,,,,,,
464,0.7961,,,,,,,
465,0.7707,,,,,,,
466,0.7452,,,,,,,
467,0.7214,,,,,,,
468,0.6964,,,,,,,
469,0.6753,,,,,,,
470,0.6511,,,,,,,
471,0.6292,,,,,,,
472,0.6094,,,,,,,
473,0.5866,,,,,,,
474,0.5672,,,,,,,
475,0.5479,,,,,,,
476,0.5268,,,,,,,
477,0.5066,,,,,,,
478,0.4842,,,,,,,
479,0.4662,,,,,,,
480,0.4473,0.0198,,,,,,
481,0.4276,0.0236,,,,,,
482,0.4087,0.0273,,,,,,
483,0.3934,0.0328,,,,,,
484,0.3785,0.0397,,,,,,
485,0.3634,0.0487,,,,,,
486,0.351,0.0591,,,,,,
487,0.3374,0.0719,,,,,,
488,0.3279,0.0869,,,,,,
489,0.3179,0.1054,0.0009,,,,,
490,0.3076,0.1268,0.001,,,,,
491,0.2977,0.1497,0.002,,,,,
492,0.2891,0.1766,0.003,,,,,
493,0.2802,0.2072,0.004,,,,,
494,0.2697,0.2423,0.005,,,,,
495,0.2605,0.2821,0.006,,,,,
496,0.2492,0.3242,0.007,,,,,
497,0.24,0.3765,0.008,,,,,
498,0.2323,0.4341,0.0085,,,,,
499,0.2233,0.4896,0.009,,,,,
500,0.2134,0.5478,0.0092,,,,,
501,0.2056,0.6082,0.0095,,,,,
502,0.1964,0.6684,0.0092,,,,,
503,0.1874,0.7242,0.0099,,,,,
504,0.1791,0.7769,0.0098,,,,,
505,0.1708,0.8293,0.01,,,,,
506,0.1641,0.8772,0.0101,,,,,
507,0.1577,0.9103,0.0109,,,,,
508,0.1511,0.9416,0.012,,,,,
509,0.1453,0.9702,0.0127,,,,,
510,0.1391,0.9847,0.0132,,,,,
511,0.1333,0.9955,0.0145,,,,,
512,0.1273,1,0.0158,,,,,
513,0.1219,0.9939,0.0158,,,,,
514,0.1163,0.9853,0.018,,,,,
515,0.1117,0.9665,0.019,,,,,
516,0.1068,0.9472,0.0207,,,,,
517,0.1014,0.9204,0.0243,,,,,
518,0.0966,0.8993,0.029,,,,,
519,0.0922,0.8712,0.0314,,,,,
520,0.0884,0.8404,0.0374,,,,,
521,0.0845,0.8111,0.0465,,,,,
522,0.0796,0.7798,0.0551,,,,,
523,0.0749,0.7472,0.0651,,,,,
524,0.0701,0.7181,0.0762,,,,,
525,0.067,0.6927,0.0898,,,,,
526,0.0642,0.666,0.1065,,,,,
527,0.0614,0.6428,0.124,,,,,
528,0.0587,0.6216,0.1453,,,,,
529,0.0555,0.6001,0.167,,,,,
530,0.0531,0.5823,0.1831,0.0048,,,,
531,0.0496,0.5618,0.2088,0.0057,,,,
532,0.0471,0.5477,0.2423,0.0064,,,,
533,0.0446,0.5296,0.272,0.0073,,,,
534,0.0431,0.5182,0.3156,0.0088,,,,
535,0.0418,0.5064,0.3592,0.0105,,,,
536,0.0398,0.4937,0.413,0.0124,,,,
537,0.0383,0.4828,0.4705,0.0152,,,,
538,0.0365,0.473,0.5281,0.0184,,,,
539,0.0354,0.4586,0.5902,0.022,,,,
540,0.0342,0.4486,0.6514,0.0266,,,,
541,0.0327,0.444,0.7053,0.0318,,,,
542,0.0319,0.432,0.752,0.0386,,,,
543,0.0304,0.4215,0.7933,0.0466,,,,
544,0.0295,0.4148,0.835,0.0564,,,,
545,0.0283,0.4004,0.8726,0.0676,,,,
546,0.0271,0.3929,0.9021,0.0822,,,,
