Wavelength,Transmission
400,0.000
401,0.000
402,0.000
403,0.000
404,0.000
405,0.000
406,0.000
407,0.000
408,0.000
409,0.000
410,0.000
411,0.000
412,0.000
413,0.004
414,0.201
415,0.781
416,0.733
417,0.831
418,0.914
419,0.930
420,0.906
421,0.905
422,0.930
423,0.925
424,0.897
425,0.895
426,0.923
427,0.932
428,0.918
429,0.930
430,0.946
431,0.913
432,0.873
433,0.884
434,0.925
435,0.944
436,0.934
437,0.929
438,0.939
439,0.950
440,0.948
441,0.938
442,0.935
443,0.947
444,0.937
445,0.922
446,0.925
447,0.929
448,0.908
449,0.879
450,0.859
451,0.848
452,0.802
453,0.806
454,0.567
455,0.005
456,0.000
457,0.000
458,0.000
459,0.000
460,0.000
461,0.000
462,0.000
463,0.000
464,0.000
465,0.000
466,0.000
467,0.000
468,0.000
469,0.000
470,0.000
471,0.000
472,0.000
473,0.000
474,0.000
475,0.000
476,0.000
477,0.000
478,0.000
479,0.000
480,0.000
481,0.000
482,0.000
483,0.012
484,0.185
485,0.837
486,0.771
487,0.817
488,0.873
489,0.910
490,0.919
491,0.915
492,0.918
493,0.930
494,0.947
495,0.955
496,0.949
497,0.936
498,0.929
499,0.937
500,0.943
501,0.930
502,0.907
503,0.890
504,0.889
505,0.899
506,0.916
507,0.932
508,0.946
509,0.947
510,0.937
511,0.925
512,0.917
513,0.901
514,0.888
515,0.898
516,0.913
517,0.926
518,0.933
519,0.928
520,0.925
521,0.936
522,0.944
523,0.949
524,0.950
525,0.951
526,0.953
527,0.950
528,0.946
529,0.933
530,0.903
531,0.870
532,0.811
533,0.721
534,0.685
535,0.750
536,0.718
537,0.202
538,0.002
539,0.000
540,0.000
541,0.000
542,0.000
543,0.000
544,0.000
545,0.000
546,0.000
547,0.000
548,0.000
549,0.000
550,0.000
551,0.000
552,0.000
553,0.000
554,0.000
555,0.000
556,0.000
557,0.000
558,0.000
559,0.000
560,0.000
561,0.000
562,0.000
563,0.000
564,0.000
565,0.000
566,0.000
567,0.000
568,0.000
569,0.000
570,0.000
571,0.000
572,0.000
573,0.000
574,0.001
575,0.012
576,0.097
577,0.680
578,0.920
579,0.883
580,0.848
581,0.849
582,0.856
583,0.879
584,0.903
585,0.910
586,0.906
587,0.914
588,0.931
589,0.948
590,0.956
591,0.955
592,0.946
593,0.936
594,0.934
595,0.944
596,0.948
597,0.931
598,0.902
599,0.886
600,0.891
601,0.906
602,0.918
603,0.910
604,0.900
605,0.896
606,0.883
607,0.864
608,0.834
609,0.806
610,0.800
611,0.841
612,0.866
613,0.742
614,0.363
615,0.015
616,0.000
617,0.000
618,0.000
619,0.000
620,0.000
621,0.000
622,0.000
623,0.000
624,0.000
625,0.000
626,0.000
627,0.000
628,0.000
629,0.000
630,0.000
631,0.000
632,0.000
633,0.000
634,0.000
635,0.000
636,0.000
637,0.000
638,0.000
639,0.000
640,0.000
641,0.000
642,0.000
643,0.000
644,0.000
645,0.000
646,0.000
647,0.000
648,0.000
649,0.000
650,0.000
651,0.000
652,0.000
653,0.000
654,0.000
655,0.000
656,0.000
657,0.000
658,0.000
659,0.000
660,0.000
661,0.000
662,0.000
663,0.000
664,0.000
665,0.005
666,0.035
667,0.256
668,0.837
669,0.922
670,0.903
671,0.890
672,0.886
673,0.899
674,0.914
675,0.925
676,0.927
677,0.931
678,0.933
679,0.928
680,0.925
681,0.920
682,0.920
683,0.927
684,0.935
685,0.940
686,0.942
687,0.941
688,0.936
689,0.936
690,0.935
691,0.935
692,0.936
693,0.937
694,0.939
695,0.947
696,0.952
697,0.957
698,0.962
699,0.957
700,0.952
701,0.946
702,0.941
703,0.932
704,0.937
705,0.939
706,0.944
707,0.948
708,0.950
709,0.953
710,0.957
711,0.955
712,0.960
713,0.963
714,0.962
715,0.957
716,0.953
717,0.946
718,0.942
719,0.940
720,0.944
721,0.949
722,0.952
723,0.957
724,0.959
725,0.959
726,0.958
727,0.953
728,0.952
729,0.952
730,0.951
731,0.953
732,0.953
733,0.953
734,0.949
735,0.946
736,0.942
737,0.942
738,0.946
739,0.947
740,0.950
741,0.955
742,0.953
743,0.953
744,0.954
745,0.950
746,0.948
747,0.953
748,0.957
749,0.960
750,0.964
