Wavelength,Transmission
400,0.0000
401,0.0000
402,0.0000
403,0.0000
404,0.0000
405,0.0000
406,0.0000
407,0.0000
408,0.0000
409,0.0000
410,0.0000
411,0.0000
412,0.0000
413,0.0002
414,0.0019
415,0.8866
416,0.9011
417,0.9054
418,0.9163
419,0.9208
420,0.9070
421,0.9158
422,0.9188
423,0.9233
424,0.9215
425,0.9100
426,0.9187
427,0.9211
428,0.9178
429,0.9112
430,0.9196
431,0.9167
432,0.9013
433,0.9201
434,0.9111
435,0.9144
436,0.9195
437,0.9101
438,0.9104
439,0.9157
440,0.9059
441,0.9138
442,0.9116
443,0.9071
444,0.9167
445,0.9063
446,0.9103
447,0.9075
448,0.9031
449,0.9098
450,0.8941
451,0.8846
452,0.8680
453,0.8525
454,0.8008
455,0.7229
456,0.6741
457,0.5866
458,0.4972
459,0.4448
460,0.3542
461,0.2376
462,0.1062
463,0.0654
464,0.0380
465,0.0198
466,0.0042
467,0.0042
468,0.0042
469,0.0042
470,0.0042
471,0.0047
472,0.0060
473,0.0072
474,0.0085
475,0.0157
476,0.0432
477,0.0822
478,0.1308
479,0.1905
480,0.1091
481,0.0005
482,0.0000
483,0.0000
484,0.0000
485,0.0000
486,0.0000
487,0.0000
488,0.0000
489,0.0000
490,0.0000
491,0.0000
492,0.0000
493,0.0001
494,0.0088
495,0.8142
496,0.9234
497,0.9261
498,0.9334
499,0.9254
500,0.9320
501,0.9257
502,0.9306
503,0.9218
504,0.9258
505,0.9235
506,0.9240
507,0.9182
508,0.9209
509,0.9234
510,0.9237
511,0.9233
512,0.9257
513,0.9226
514,0.9226
515,0.9169
516,0.9182
517,0.9196
518,0.9148
519,0.9158
520,0.9089
521,0.9080
522,0.9120
523,0.9086
524,0.9100
525,0.9117
526,0.9071
527,0.9089
528,0.9062
529,0.9027
530,0.9124
531,0.9092
532,0.9040
533,0.9045
534,0.8983
535,0.8960
536,0.8806
537,0.8611
538,0.8578
539,0.8652
540,0.8613
541,0.8239
542,0.7870
543,0.7555
544,0.6839
545,0.6172
546,0.5349
547,0.3751
548,0.2936
549,0.1748
550,0.0971
551,0.0108
552,0.0001
553,0.0000
554,0.0000
555,0.0000
556,0.0000
557,0.0000
558,0.0000
559,0.0000
560,0.0000
561,0.0000
562,0.0000
563,0.0000
564,0.0000
565,0.0000
566,0.0000
567,0.0000
568,0.0000
569,0.0003
570,0.0181
571,0.3123
572,0.4174
573,0.4930
574,0.5494
575,0.6498
576,0.6838
577,0.7628
578,0.8218
579,0.8470
580,0.8827
581,0.8872
582,0.8835
583,0.8951
584,0.8972
585,0.8996
586,0.9056
587,0.9025
588,0.9019
589,0.9017
590,0.8992
591,0.8995
592,0.8982
593,0.9004
594,0.9094
595,0.9081
596,0.9045
597,0.9087
598,0.9077
599,0.9057
600,0.9075
601,0.8972
602,0.8851
603,0.8903
604,0.8980
605,0.9007
606,0.8981
607,0.8932
608,0.8945
609,0.8963
610,0.8943
611,0.8970
612,0.9001
613,0.8950
614,0.8965
615,0.8975
616,0.8955
617,0.6552
618,0.0486
619,0.0011
620,0.0001
621,0.0000
622,0.0000
623,0.0000
624,0.0000
625,0.0000
626,0.0000
627,0.0000
628,0.0000
629,0.0000
630,0.0000
631,0.0000
632,0.0000
633,0.0000
634,0.0000
635,0.0000
636,0.0000
637,0.0000
638,0.0000
639,0.0000
640,0.0000
641,0.0000
642,0.0000
643,0.0000
644,0.0000
645,0.0000
646,0.0000
647,0.0000
648,0.0000
649,0.0000
650,0.0000
651,0.0001
652,0.0157
653,0.0993
654,0.1380
655,0.1694
656,0.1986
657,0.2316
658,0.2714
659,0.3154
660,0.3451
661,0.3806
662,0.4288
663,0.4796
664,0.5196
665,0.5443
666,0.5950
667,0.6362
668,0.6667
669,0.6914
670,0.7227
671,0.7577
672,0.7953
673,0.8202
674,0.8472
675,0.8594
676,0.8652
677,0.8714
678,0.8836
679,0.8938
680,0.8959
681,0.8976
682,0.9057
683,0.9122
684,0.9111
685,0.9080
686,0.9105
687,0.9147
688,0.9125
689,0.9086
690,0.9085
691,0.9112
692,0.9080
693,0.9006
694,0.8966
695,0.8988
696,0.9014
697,0.8975
698,0.8921
699,0.8917
700,0.8942
701,0.8962
702,0.8935
703,0.8924
704,0.8964
705,0.9021
706,0.9025
707,0.8997
708,0.9000
709,0.9043
710,0.9079
711,0.9059
712,0.9020
713,0.9017
714,0.9035
715,0.9042
716,0.9017
717,0.8998
718,0.9007
719,0.9033
720,0.9023
721,0.8982
722,0.8953
723,0.8967
724,0.8989
725,0.8993
726,0.8971
727,0.8958
728,0.8972
729,0.8990
730,0.8978
731,0.8928
732,0.8893
733,0.8905
734,0.8956
735,0.9006
736,0.9017
737,0.9006
738,0.9005
739,0.9021
740,0.9012
741,0.8981
742,0.8956
743,0.8959
744,0.8991
745,0.9012
746,0.8988
747,0.8948
748,0.8930
749,0.8957
750,0.9002
